Report Number,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude
2018,LARCENY-THEFT,Theft From Building,23D,QUEEN ANNE,-122.3580072,47.62590598
2018,LARCENY-THEFT,Shoplifting,23C,CAPITOL HILL,-122.3208823,47.6204918
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,QUEEN ANNE,-122.3449504,47.63140856
2018,LARCENY-THEFT,Theft From Building,23D,MADRONA/LESCHI,-122.2893064,47.61288802
2018,LARCENY-THEFT,All Other Larceny,23H,DOWNTOWN COMMERCIAL,-122.3387015,47.61074295
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,PHINNEY RIDGE,-122.3481406,47.6818033
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,UNIVERSITY,-122.3208342,47.66003567
2018,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,HIGHLAND PARK,-122.3551045,47.52287009
2018,LARCENY-THEFT,All Other Larceny,23H,PIONEER SQUARE,-122.3308075,47.60046424
2018,LARCENY-THEFT,Theft From Building,23D,DOWNTOWN COMMERCIAL,-122.3404677,47.6093176
2018,LARCENY-THEFT,All Other Larceny,23H,BITTERLAKE,-122.3520934,47.70507355
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,CAPITOL HILL,-122.3235707,47.61098068
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,GREENWOOD,-122.3660043,47.68583034
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,PHINNEY RIDGE,-122.3564019,47.68127049
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,BELLTOWN,-122.3430526,47.6125019
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,NORTH BEACON HILL,-122.3121072,47.58023946
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SANDPOINT,-122.3068582,47.6907698
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,CAPITOL HILL,-122.325303,47.62140983
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,SODO,-122.329058,47.5850737
2018,LARCENY-THEFT,All Other Larceny,23H,GEORGETOWN,-122.3231011,47.55150187
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SOUTH PARK,-122.3149098,47.52690544
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,ALKI,-122.4100347,47.57773303
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,GEORGETOWN,-122.3231011,47.55150187
2018,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,GEORGETOWN,-122.3231011,47.55150187
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,CAPITOL HILL,-122.3146063,47.62608594
2018,LARCENY-THEFT,All Other Larceny,23H,SODO,-122.3248703,47.57980772
